"Against","Team","IDGAME","Phase","Player","MIN","PTS","F2M","F2A","F2GP","F3M","F3A","F3GP","FTM","FTA","FTP","OR","DR","TR","AS","ST","TO","BLK","BLKR","PF","RF","PIR","HA","results","Team_PTS","Team_F2A","Team_F3A","Team_FTA","Team_F2M","Team_F3M","Team_FTM","Team_AS","Team_OR","Team_DR","Team_TR","Team_ST","Team_TO","Team_BLK","Team_PF","Team_PIR","Team_opp_PTS","Team_opp_F2A","Team_opp_F3A","Team_opp_FTA","Team_opp_F2M","Team_opp_F3M","Team_opp_FTM","Team_opp_AS","Team_opp_OR","Team_opp_DR","Team_opp_TR","Team_opp_ST","Team_opp_TO","Team_opp_BLK","Team_opp_PF","Team_opp_PIR","Points_per_shoot","Possesions","Offensive_rating","PIE","Assists_Ratio","As_To_ratio","EFG","FT_ratio","Game_score","True_shooting","Turnover_ratio","Usage","OR_percent","Season"
"CRV","EFE","11_6","Regular Season","Vladimir  Stimac",34,12,5,7,71.4,0,1,0,2,2,100,4,4,8,1,0,1,1,1,3,4,18,"A","L",81,40,14,23,22,6,19,19,8,18,26,1,15,2,17,86,81,40,14,23,22,6,19,19,8,18,26,1,15,2,17,86,1.2,5.6,214.3,0.1,17.9,1,62.5,0.25,11.6,67.6,17.86,2.9,25,"2017-2018"
"CRV","EFE","11_6","Regular Season","Zoran  Dragic",34,14,6,8,75,0,3,0,2,2,100,0,5,5,4,1,1,0,1,2,4,19,"A","L",81,40,14,23,22,6,19,19,8,18,26,1,15,2,17,86,81,40,14,23,22,6,19,19,8,18,26,1,15,2,17,86,1.08,12.4,112.9,0.13,32.3,4,54.5,0.18,12.2,58.9,8.06,3.8,0,"2017-2018"
"CRV","EFE","11_6","Regular Season","Bryant  Dunston",30,16,3,6,50,2,2,100,4,4,100,2,1,3,4,0,2,1,0,4,3,18,"A","L",81,40,14,23,22,6,19,19,8,18,26,1,15,2,17,86,81,40,14,23,22,6,19,19,8,18,26,1,15,2,17,86,1.33,9.4,170.2,0.11,42.6,2,75,0.5,14,82,21.28,4,12.5,"2017-2018"
"CRV","EFE","11_6","Regular Season","Krunoslav  Simon",29,6,0,2,0,2,4,50,0,0,NA,0,3,3,3,0,2,0,0,2,1,5,"A","L",81,40,14,23,22,6,19,19,8,18,26,1,15,2,17,86,81,40,14,23,22,6,19,19,8,18,26,1,15,2,17,86,1,7.7,77.9,0.03,39,1.5,50,0,2.8,50,25.97,2.8,0,"2017-2018"
"CRV","EFE","11_6","Regular Season","Ricky  Ledo",12,7,2,2,100,0,0,NA,3,4,75,0,0,0,1,0,1,0,0,0,3,9,"A","L",81,40,14,23,22,6,19,19,8,18,26,1,15,2,17,86,81,40,14,23,22,6,19,19,8,18,26,1,15,2,17,86,1.17,4.6,152.2,0.05,21.7,1,100,2,5.7,93.1,21.74,4,0,"2017-2018"
"CRV","EFE","11_6","Regular Season","Errick  McCollum",18,8,2,4,50,0,2,0,4,4,100,1,1,2,1,0,3,0,1,3,2,2,"A","L",81,40,14,23,22,6,19,19,8,18,26,1,15,2,17,86,81,40,14,23,22,6,19,19,8,18,26,1,15,2,17,86,0.8,9.4,85.1,0,10.6,0.3,33.3,0.67,2.1,51.5,31.91,6,6.2,"2017-2018"
"CRV","EFE","11_6","Regular Season","Derrick  Brown",13,6,2,7,28.6,0,0,NA,2,3,66.7,0,1,1,1,0,2,0,1,2,2,-1,"A","L",81,40,14,23,22,6,19,19,8,18,26,1,15,2,17,86,81,40,14,23,22,6,19,19,8,18,26,1,15,2,17,86,0.6,9.9,60.6,-0.02,10.1,0.5,28.6,0.43,-0.3,36.1,20.2,8,0,"2017-2018"
"CRV","EFE","11_6","Regular Season","Birkan  Batuk",1,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,1,0,-1,"A","L",81,40,14,23,22,6,19,19,8,18,26,1,15,2,17,86,81,40,14,23,22,6,19,19,8,18,26,1,15,2,17,86,NA,0,NA,-0.01,NA,NA,NA,NA,-0.4,NA,NA,0,0,"2017-2018"
"CRV","EFE","11_6","Regular Season","Edo  Muric",6,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,1,0,0,0,0,-1,"A","L",81,40,14,23,22,6,19,19,8,18,26,1,15,2,17,86,81,40,14,23,22,6,19,19,8,18,26,1,15,2,17,86,NA,1,0,-0.01,0,0,NA,NA,-1,NA,100,1.7,0,"2017-2018"
"EFE","CRV","11_6","Regular Season","Nemanja  Dangubic",21,10,2,4,50,2,2,100,0,0,NA,1,1,2,1,0,1,0,0,4,1,7,"H","W",100,45,28,12,24,14,10,21,11,18,29,9,6,4,23,112,100,45,28,12,24,14,10,21,11,18,29,9,6,4,23,112,1.67,5.8,172.4,0.03,17.2,1,83.3,0,6.5,83.3,17.24,3.2,4.5,"2017-2018"
"EFE","CRV","11_6","Regular Season","James  Feldeine",30,29,7,9,77.8,4,7,57.1,3,3,100,0,1,1,1,4,0,0,0,2,4,32,"H","W",100,45,28,12,24,14,10,21,11,18,29,9,6,4,23,112,100,45,28,12,24,14,10,21,11,18,29,9,6,4,23,112,1.53,16.6,174.7,0.16,6,Inf,81.2,0.19,26.4,83.7,0,5.5,0,"2017-2018"
"EFE","CRV","11_6","Regular Season","Taylor  Rochestie",28,11,0,4,0,3,6,50,2,2,100,0,0,0,6,0,1,0,0,0,3,12,"H","W",100,45,28,12,24,14,10,21,11,18,29,9,6,4,23,112,100,45,28,12,24,14,10,21,11,18,29,9,6,4,23,112,0.92,11.4,96.5,0.05,52.6,6,45,0.2,8.4,50.6,8.77,4,0,"2017-2018"
"EFE","CRV","11_6","Regular Season","Mathias  Lessort",25,9,3,8,37.5,0,0,NA,3,4,75,2,7,9,4,1,2,1,1,2,3,16,"H","W",100,45,28,12,24,14,10,21,11,18,29,9,6,4,23,112,100,45,28,12,24,14,10,21,11,18,29,9,6,4,23,112,0.75,9.4,95.7,0.07,42.6,2,37.5,0.5,9.4,46.1,21.28,4.5,9.1,"2017-2018"
"EFE","CRV","11_6","Regular Season","Milko  Bjelica",20,9,3,7,42.9,1,1,100,0,1,0,2,1,3,1,0,0,1,1,3,1,6,"H","W",100,45,28,12,24,14,10,21,11,18,29,9,6,4,23,112,100,45,28,12,24,14,10,21,11,18,29,9,6,4,23,112,1,6.2,145.2,0.03,16.1,Inf,56.2,0.12,6.5,53.3,0,4,9.1,"2017-2018"
"EFE","CRV","11_6","Regular Season","Dejan  Davidovac",12,6,3,3,100,0,1,0,0,0,NA,1,1,2,5,0,0,0,0,0,0,12,"H","W",100,45,28,12,24,14,10,21,11,18,29,9,6,4,23,112,100,45,28,12,24,14,10,21,11,18,29,9,6,4,23,112,1.5,2.9,206.9,0.06,172.4,Inf,75,0,8.9,75,0,3.2,4.5,"2017-2018"
"EFE","CRV","11_6","Regular Season","Branko  Lazic",18,5,1,3,33.3,1,2,50,0,0,NA,0,0,0,0,1,0,1,0,3,1,2,"H","W",100,45,28,12,24,14,10,21,11,18,29,9,6,4,23,112,100,45,28,12,24,14,10,21,11,18,29,9,6,4,23,112,1,4.8,104.2,0,0,NA,50,0,2.8,50,0,2.6,0,"2017-2018"
"EFE","CRV","11_6","Regular Season","Pero  Antic",13,5,1,2,50,1,3,33.3,0,0,NA,1,2,3,3,2,0,0,0,4,1,7,"H","W",100,45,28,12,24,14,10,21,11,18,29,9,6,4,23,112,100,45,28,12,24,14,10,21,11,18,29,9,6,4,23,112,1,3.8,131.6,0.03,78.9,Inf,50,0,6.1,50,0,3.7,4.5,"2017-2018"
"EFE","CRV","11_6","Regular Season","Ognjen  Dobric",11,10,2,2,100,2,4,50,0,0,NA,0,1,1,0,0,1,0,0,4,0,4,"H","W",100,45,28,12,24,14,10,21,11,18,29,9,6,4,23,112,100,45,28,12,24,14,10,21,11,18,29,9,6,4,23,112,1.67,6.7,149.3,0.02,0,0,83.3,0,5.1,83.3,14.93,6,0,"2017-2018"
"EFE","CRV","11_6","Regular Season","Stefan  Jankovic",20,6,2,3,66.7,0,2,0,2,2,100,4,3,7,0,1,1,1,0,1,3,13,"H","W",100,45,28,12,24,14,10,21,11,18,29,9,6,4,23,112,100,45,28,12,24,14,10,21,11,18,29,9,6,4,23,112,0.86,2.8,214.3,0.04,0,0,40,0.4,7.3,51,35.71,3.3,18.2,"2017-2018"
"EFE","CRV","11_6","Regular Season","Nikola  Jovanovic",2,0,0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0,1,"H","W",100,45,28,12,24,14,10,21,11,18,29,9,6,4,23,112,100,45,28,12,24,14,10,21,11,18,29,9,6,4,23,112,NA,0,NA,0.01,NA,NA,NA,NA,0.3,NA,NA,0,0,"2017-2018"
"OLY","RMB","11_7","Regular Season","Luka  Doncic",38,33,8,12,66.7,4,9,44.4,5,7,71.4,1,5,6,4,0,1,0,0,2,7,36,"A","L",83,46,33,11,22,10,9,12,16,25,41,8,11,3,29,72,83,46,33,11,22,10,9,12,16,25,41,8,11,3,29,72,1.18,23.1,142.9,0.29,17.3,4,66.7,0.33,25.5,68.5,4.33,5.6,3.1,"2017-2018"
"OLY","RMB","11_7","Regular Season","Facundo  Campazzo",18,0,0,3,0,0,0,NA,0,0,NA,0,1,1,1,1,4,0,0,1,2,-3,"A","L",83,46,33,11,22,10,9,12,16,25,41,8,11,3,29,72,83,46,33,11,22,10,9,12,16,25,41,8,11,3,29,72,0,6.7,0,-0.05,14.9,0.2,0,0,-4.5,0,59.7,3.3,0,"2017-2018"
"OLY","RMB","11_7","Regular Season","Walter  Tavares",21,8,4,6,66.7,0,0,NA,0,0,NA,3,4,7,0,0,0,2,1,5,0,9,"A","L",83,46,33,11,22,10,9,12,16,25,41,8,11,3,29,72,83,46,33,11,22,10,9,12,16,25,41,8,11,3,29,72,1.33,2.9,275.9,0.08,0,NA,66.7,0,8.1,66.7,0,2.4,9.4,"2017-2018"
"OLY","RMB","11_7","Regular Season","Trey  Thompkins",20,6,3,6,50,0,2,0,0,0,NA,2,8,10,0,1,0,1,0,5,1,9,"A","L",83,46,33,11,22,10,9,12,16,25,41,8,11,3,29,72,83,46,33,11,22,10,9,12,16,25,41,8,11,3,29,72,0.75,5.8,103.4,0.07,0,NA,37.5,0,5.1,37.5,0,3.4,6.2,"2017-2018"
"OLY","RMB","11_7","Regular Season","Jeffery  Taylor",24,2,1,5,20,0,1,0,0,0,NA,4,0,4,1,0,0,0,1,1,1,1,"A","L",83,46,33,11,22,10,9,12,16,25,41,8,11,3,29,72,83,46,33,11,22,10,9,12,16,25,41,8,11,3,29,72,0.33,1.9,105.3,-0.01,52.6,Inf,16.7,0,1.3,16.7,0,2.1,12.5,"2017-2018"
"OLY","RMB","11_7","Regular Season","Fabien  Causeur",16,0,0,1,0,0,1,0,0,0,NA,0,1,1,2,0,0,0,1,1,2,1,"A","L",83,46,33,11,22,10,9,12,16,25,41,8,11,3,29,72,83,46,33,11,22,10,9,12,16,25,41,8,11,3,29,72,0,1.9,0,0,105.3,Inf,0,0,-0.1,0,0,1.1,0,"2017-2018"
"OLY","RMB","11_7","Regular Season","Chasson  Randle",7,3,0,2,0,1,2,50,0,0,NA,0,1,1,0,1,0,0,1,1,1,1,"A","L",83,46,33,11,22,10,9,12,16,25,41,8,11,3,29,72,83,46,33,11,22,10,9,12,16,25,41,8,11,3,29,72,0.75,3.8,78.9,0.01,0,NA,37.5,0,1.5,37.5,0,4.8,0,"2017-2018"
"OLY","RMB","11_7","Regular Season","Rudy  Fernandez",23,3,0,2,0,1,5,20,0,0,NA,0,2,2,2,1,0,0,0,3,1,0,"A","L",83,46,33,11,22,10,9,12,16,25,41,8,11,3,29,72,83,46,33,11,22,10,9,12,16,25,41,8,11,3,29,72,0.43,6.7,44.8,-0.01,29.9,Inf,21.4,0,0.3,21.4,0,2.6,0,"2017-2018"
"OLY","RMB","11_7","Regular Season","Dino  Radoncic",6,0,0,0,NA,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,-2,"A","L",83,46,33,11,22,10,9,12,16,25,41,8,11,3,29,72,83,46,33,11,22,10,9,12,16,25,41,8,11,3,29,72,0,1,0,-0.02,0,NA,0,0,-1.1,0,0,1.4,0,"2017-2018"
"OLY","RMB","11_7","Regular Season","Jonas  Maciulis",12,0,0,0,NA,0,1,0,0,0,NA,1,0,1,0,0,2,0,0,4,0,-6,"A","L",83,46,33,11,22,10,9,12,16,25,41,8,11,3,29,72,83,46,33,11,22,10,9,12,16,25,41,8,11,3,29,72,0,1.9,0,-0.07,0,0,0,0,-3.6,0,105.26,2.1,3.1,"2017-2018"
"OLY","RMB","11_7","Regular Season","Felipe  Reyes",15,4,2,3,66.7,0,1,0,0,0,NA,3,2,5,2,0,2,0,0,5,1,3,"A","L",83,46,33,11,22,10,9,12,16,25,41,8,11,3,29,72,83,46,33,11,22,10,9,12,16,25,41,8,11,3,29,72,1,2.9,137.9,0.01,69,1,50,0,2.1,50,68.97,3.4,9.4,"2017-2018"
"OLY","RMB","11_7","Regular Season","Jaycee  Carroll",25,24,4,6,66.7,4,10,40,4,4,100,2,1,3,0,4,2,0,0,0,2,23,"A","L",83,46,33,11,22,10,9,12,16,25,41,8,11,3,29,72,83,46,33,11,22,10,9,12,16,25,41,8,11,3,29,72,1.2,17,141.2,0.21,0,0,62.5,0.25,19.7,67.6,11.76,6.7,6.2,"2017-2018"
"RMB","OLY","11_7","Regular Season","Vassilis  Spanoulis",23,7,1,3,33.3,1,4,25,2,2,100,0,0,0,4,2,3,0,2,2,3,4,"H","W",92,41,23,36,22,6,30,15,13,27,40,8,13,4,18,111,92,41,23,36,22,6,30,15,13,27,40,8,13,4,18,111,0.78,10.4,67.3,0.02,38.5,1.3,35.7,0.29,3.9,44.4,28.85,4.1,0,"2017-2018"
"RMB","OLY","11_7","Regular Season","Nikola  Milutinov",24,12,4,8,50,0,0,NA,4,5,80,3,4,7,1,1,0,3,1,1,4,21,"H","W",92,41,23,36,22,6,30,15,13,27,40,8,13,4,18,111,92,41,23,36,22,6,30,15,13,27,40,8,13,4,18,111,0.92,6.9,173.9,0.1,14.5,Inf,50,0.62,14.3,58.8,0,3.7,11.5,"2017-2018"
"RMB","OLY","11_7","Regular Season","Georgios  Printezis",31,21,6,9,66.7,1,2,50,6,8,75,1,6,7,2,1,1,0,0,1,4,27,"H","W",92,41,23,36,22,6,30,15,13,27,40,8,13,4,18,111,92,41,23,36,22,6,30,15,13,27,40,8,13,4,18,111,1.11,13.9,151.1,0.15,14.4,2,68.2,0.73,18.8,72.3,7.19,4.3,3.8,"2017-2018"
"RMB","OLY","11_7","Regular Season","Kostas  Papanikolaou",33,14,1,3,33.3,3,4,75,3,4,75,2,6,8,3,1,1,0,0,2,3,22,"H","W",92,41,23,36,22,6,30,15,13,27,40,8,13,4,18,111,92,41,23,36,22,6,30,15,13,27,40,8,13,4,18,111,1.27,7.4,189.2,0.12,40.5,3,78.6,0.57,14.8,79.9,13.51,2.5,7.7,"2017-2018"
"RMB","OLY","11_7","Regular Season","Brian  Roberts",22,4,2,5,40,0,2,0,0,0,NA,0,1,1,1,0,1,0,0,3,0,-3,"H","W",92,41,23,36,22,6,30,15,13,27,40,8,13,4,18,111,92,41,23,36,22,6,30,15,13,27,40,8,13,4,18,111,0.57,7.7,51.9,-0.02,13,1,28.6,0,-1.3,28.6,12.99,3.1,0,"2017-2018"
"RMB","OLY","11_7","Regular Season","Jamel  McLean",20,12,3,3,100,0,1,0,6,8,75,2,3,5,1,1,1,0,0,2,8,21,"H","W",92,41,23,36,22,6,30,15,13,27,40,8,13,4,18,111,92,41,23,36,22,6,30,15,13,27,40,8,13,4,18,111,1,6.3,190.5,0.08,15.9,1,75,2,11.8,79.8,15.87,3.7,7.7,"2017-2018"
"RMB","OLY","11_7","Regular Season","Janis  Strelnieks",25,15,3,4,75,1,2,50,6,6,100,0,1,1,1,0,1,0,0,2,3,15,"H","W",92,41,23,36,22,6,30,15,13,27,40,8,13,4,18,111,92,41,23,36,22,6,30,15,13,27,40,8,13,4,18,111,1.25,9.3,161.3,0.08,10.8,1,75,1,11.6,86.8,10.75,3.3,0,"2017-2018"
"RMB","OLY","11_7","Regular Season","Evangelos  Mantzaris",18,0,0,1,0,0,4,0,0,0,NA,1,1,2,1,1,1,0,0,3,1,-4,"H","W",92,41,23,36,22,6,30,15,13,27,40,8,13,4,18,111,92,41,23,36,22,6,30,15,13,27,40,8,13,4,18,111,0,4.8,0,-0.04,20.8,1,0,0,-3,0,20.83,2.9,3.8,"2017-2018"
