Against,Team,IDGAME,Phase,Player,MIN,PTS,F2M,F2A,F2GP,F3M,F3A,F3GP,FTM,FTA,FTP,OR,DR,TR,AS,ST,TO,BLK,BLKR,PF,RF,PIR,HA,results,Team_PTS,Team_F2A,Team_F3A,Team_FTA,Team_F2M,Team_F3M,Team_FTM,Team_AS,Team_OR,Team_DR,Team_TR,Team_ST,Team_TO,Team_BLK,Team_PF,Team_PIR,Team_opp_PTS,Team_opp_F2A,Team_opp_F3A,Team_opp_FTA,Team_opp_F2M,Team_opp_F3M,Team_opp_FTM,Team_opp_AS,Team_opp_OR,Team_opp_DR,Team_opp_TR,Team_opp_ST,Team_opp_TO,Team_opp_BLK,Team_opp_PF,Team_opp_PIR,Points_per_shoot,Possesions,Offensive_rating,PIE,Assists_Ratio,As_To_ratio,EFG,FT_ratio,Game_score,True_shooting,Turnover_ratio,Usage,OR_percent,Season
CRV,MIL,1_3,Regular Season,Josh  Nebo,28.0,12,5,5,100.0,0,0,,2,3,66.7,1,4,5,2,0,1,0,0,2,2,17,A,W,92,36,24,18,23,11,13,18,8,21,29,8,13,0,16,108,82,46,19,13,28,6,8,19,9,19,28,8,10,0,21,86,1.5,6.1,196.7,0.1,32.8,2.0,100.0,0.6,11.6,94.9,16.39,2.6,5.9,2025-2026
PAR,DUB,1_4,Regular Season,Nemanja  Dangubic,2.0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0,-2,H,W,89,45,20,12,23,11,10,21,9,19,28,5,8,0,19,97,76,43,18,21,19,7,17,16,14,17,31,4,11,2,16,82,,0.0,,-0.01,,,,,-0.8,,,0.0,0.0,2025-2026
PAR,DUB,1_4,Regular Season,Dwayne  Bacon,24.0,11,4,7,57.1,1,2,50.0,0,0,,0,2,2,3,1,1,0,0,3,2,11,H,W,89,45,20,12,23,11,10,21,9,19,28,5,8,0,19,97,76,43,18,21,19,7,17,16,14,17,31,4,11,2,16,82,1.22,9.6,114.6,0.07,31.2,3.0,61.1,0.0,8.2,61.1,10.42,4.3,0.0,2025-2026
PAR,DUB,1_4,Regular Season,Awudu  Abass,9.0,3,0,1,0.0,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,2,H,W,89,45,20,12,23,11,10,21,9,19,28,5,8,0,19,97,76,43,18,21,19,7,17,16,14,17,31,4,11,2,16,82,1.5,1.9,157.9,0.01,0.0,,75.0,0.0,2.0,75.0,0.0,2.3,0.0,2025-2026
PAR,DUB,1_4,Regular Season,Klemen  Prepelic,8.0,0,0,1,0.0,0,3,0.0,0,0,,0,0,0,0,0,1,0,0,2,0,-7,H,W,89,45,20,12,23,11,10,21,9,19,28,5,8,0,19,97,76,43,18,21,19,7,17,16,14,17,31,4,11,2,16,82,0.0,4.8,0.0,-0.05,0.0,0.0,0.0,0.0,-4.6,0.0,20.83,6.4,0.0,2025-2026
PAR,DUB,1_4,Regular Season,Davis  Bertans,26.0,20,1,1,100.0,5,7,71.4,3,4,75.0,1,2,3,4,1,1,0,0,1,3,26,H,W,89,45,20,12,23,11,10,21,9,19,28,5,8,0,19,97,76,43,18,21,19,7,17,16,14,17,31,4,11,2,16,82,1.67,9.4,212.8,0.17,42.6,4.0,106.2,0.5,20.1,102.5,10.64,4.2,4.3,2025-2026
PAR,DUB,1_4,Regular Season,Justin  Anderson,14.0,2,1,1,100.0,0,1,0.0,0,0,,0,1,1,1,1,0,0,0,1,0,3,H,W,89,45,20,12,23,11,10,21,9,19,28,5,8,0,19,97,76,43,18,21,19,7,17,16,14,17,31,4,11,2,16,82,1.0,1.9,105.3,0.02,52.6,inf,50.0,0.0,2.6,50.0,0.0,1.5,0.0,2025-2026
PAR,DUB,1_4,Regular Season,Kosta  Kondic,4.0,0,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,3,1,-1,H,W,89,45,20,12,23,11,10,21,9,19,28,5,8,0,19,97,76,43,18,21,19,7,17,16,14,17,31,4,11,2,16,82,,0.0,,-0.01,inf,inf,,,-0.5,,,0.0,0.0,2025-2026
PAR,DUB,1_4,Regular Season,Dzanan  Musa,34.0,19,3,7,42.9,3,5,60.0,4,4,100.0,2,2,4,5,0,2,0,0,2,4,22,H,W,89,45,20,12,23,11,10,21,9,19,28,5,8,0,19,97,76,43,18,21,19,7,17,16,14,17,31,4,11,2,16,82,1.19,13.2,143.9,0.13,37.9,2.5,62.5,0.33,15.7,69.0,15.15,4.7,8.7,2025-2026
PAR,DUB,1_4,Regular Season,Mfiondu  Kabengele,15.0,15,6,7,85.7,0,0,,3,4,75.0,2,3,5,0,0,1,0,0,2,3,18,H,W,89,45,20,12,23,11,10,21,9,19,28,5,8,0,19,97,76,43,18,21,19,7,17,16,14,17,31,4,11,2,16,82,1.36,7.4,202.7,0.1,0.0,0.0,85.7,0.57,12.6,85.6,13.51,6.6,8.7,2025-2026
